,time,s1,s2,s3,s4,0
278,1398489284.075,387.2588497815117,390.73040000080533,363.5689207384714,358.4415382281755,374.999927187241
279,1398489285.074,388.88903846330265,402.7303999996121,360.3830800585339,361.9030767062741,378.47639880693066
280,1398489286.526,379.1079063730512,402.7303999996121,363.5689207384714,360.1723074670937,376.3948836445571
281,1398489287.525,375.84752900946927,390.73040000080533,363.5689207384714,356.710768988995,371.7144046844353
282,1398489289.001,377.4777176912602,402.7303999996121,360.3830800585339,353.2492305108964,373.4601070650756
283,1398489290.54,383.9984724181769,402.7303999996121,369.94060209786335,363.63384594519226,380.07583011521115
284,1398489291.54,388.8890384630556,414.7303999984189,366.7547614179259,367.0953844235533,384.3673960757384
285,1398489292.539,392.14941582663744,378.73040000017966,366.75476141840886,363.63384594545454,375.31710579767014
286,1398489293.538,383.99847241792975,366.7303999995539,357.1972393790794,358.4415382281755,366.5919125061846
287,1398489295.003,359.5456421923011,390.7303999989864,350.8255580192045,353.2492305108964,363.5877076803471
288,1398489297.777,379.1079063730512,402.7303999996121,366.7547614179259,356.710768988995,376.3259591948961
289,1398489298.777,393.7796045084284,402.7303999996121,369.94060209786335,360.1723074670937,381.65572851824936
290,1398489299.776,408.4513026435585,390.73040000080533,369.94060209786335,377.47999985811146,386.6505761500847
291,1398489300.775,403.5607365986799,390.73040000080533,369.94060209786335,377.47999985811146,385.42793463886505
292,1398489302.543,385.6286610997208,390.73040000080533,360.3830800585339,358.44153822791316,373.79591984674323
293,1398489304.022,362.80601955588304,366.7303999995539,350.8255580192045,342.86461507633817,355.8066481627449
294,1398489305.021,353.1335667110513,390.7303999989864,354.011398699142,341.1338458371577,359.75230281158434
295,1398489306.488,362.80601955588304,390.7303999989864,360.3830800585339,349.78769203253546,365.9267979114847
296,1398489307.487,382.368283736386,378.73040000017966,369.94060209786335,363.63384594545454,373.6682829449709
297,1398489309.022,398.6701705533071,402.7303999996121,373.1264427778008,375.7492306189309,387.5690609874127
298,1398489310.542,397.0399818717632,402.7303999996121,369.94060209786335,372.28769214083235,385.49966902751777
299,1398489311.541,390.51922714484647,390.73040000080533,363.5689207384714,358.44153822791316,375.8150215280091
300,1398489312.54,382.368283736386,390.73040000080533,357.19723937859646,351.5184612717159,370.45359609687597
301,1398489313.539,370.9569629643436,378.73040000017966,357.1972393790794,349.78769203253546,364.1680735940345
302,1398489314.982,375.84752900946927,402.7303999996121,357.19723937859646,356.710768988995,373.12148434416815
303,1398489318.123,388.8890384630556,390.73040000080533,366.75476141840886,360.1723074670937,376.6366268373408
304,1398489319.123,385.6286610997208,390.73040000080533,366.75476141840886,361.9030767062741,376.25422480630226
305,1398489320.122,375.84752900946927,390.7303999989864,363.5689207384714,358.44153822791316,372.1470969937101
306,1398489321.122,367.69658560100874,366.7303999995539,357.19723937859646,358.4415382281755,362.5164408018336
307,1398489322.743,370.9569629643436,378.73040000017966,363.5689207384714,353.2492305108964,366.6263785534727
308,1398489324.344,392.14941582663744,390.73040000080533,363.5689207384714,361.9030767062741,377.0879533180471
309,1398489325.345,397.0399818717632,402.7303999996121,369.94060209786335,365.3646151843727,383.76889978840285
310,1398489326.935,401.93054791688894,402.7303999996121,369.94060209786335,372.28769214083235,386.7223105387992
311,1398489327.935,397.0399818717632,414.7303999984189,369.94060209786335,367.0953844235533,387.20159209789966
312,1398489330.668,354.76375539284226,366.7303999995539,347.63971733975,341.1338458371577,352.56692964232593
313,1398489332.342,354.76375539284226,378.7303999983607,354.011398699142,348.05692279361733,358.8906192209906
314,1398489333.341,382.368283736386,390.73040000080533,366.7547614179259,365.3646151843727,376.3045150848725
315,1398489334.34,413.34186868868426,402.7303999996121,379.4981241371928,382.67230757539056,394.56067510021995
316,1398489335.34,414.9720573704752,402.7303999996121,382.68396481713023,382.67230757539056,395.76468244065205
317,1398489338.123,383.99847241792975,378.73040000017966,360.3830800585339,358.4415382281755,370.38837267620465
318,1398489339.815,361.1758308743392,378.7303999983607,350.8255580192045,342.86461507633817,358.39910099206065
319,1398489340.814,356.3939440746332,390.7303999989864,354.011398699142,346.3261535544368,361.8654740817996
320,1398489341.818,374.2173403279255,378.73040000017966,363.5689207384714,358.44153822791316,368.7395498236224
321,1398489342.817,382.368283736386,402.7303999996121,363.5689207384714,367.09538442329085,378.9407472244401
322,1398489344.47,398.6701705533071,402.7303999996121,373.1264427778008,367.0953844235533,385.4055994385683
323,1398489346.538,392.14941582663744,414.7303999984189,369.94060209786335,368.82615366247137,386.41164289634776
324,1398489348.09,390.51922714484647,378.73040000017966,363.5689207384714,367.09538442329085,374.9784830766971
325,1398489349.089,387.2588497815117,390.73040000080533,360.3830800585339,356.710768988995,373.77077470746144
326,1398489350.089,385.6286610997208,390.73040000080533,357.19723937859646,353.2492305108964,371.7013827475047
327,1398489351.839,361.17583087409207,378.73040000017966,350.8255580192045,354.9799997500769,361.42794716088827
328,1398489354.037,366.06639691921777,390.73040000080533,360.3830800585339,353.2492305108964,367.6072768723633
329,1398489355.036,377.4777176912602,390.73040000080533,366.7547614179259,360.1723074670937,373.7837966442713
330,1398489356.037,390.51922714484647,402.7303999996121,373.1264427778008,372.28769214083235,384.66594051577295
331,1398489357.036,401.93054791688894,414.73040000023786,369.94060209786335,375.7492306189309,390.58769515848024
332,1398489360.103,382.368283736386,378.73040000017966,360.3830800585339,354.97999974981445,369.1154408862285
333,1398489361.808,369.32677428255266,390.7303999989864,354.011398699142,351.5184612717159,366.39675856309924
334,1398489362.807,372.5871516461345,402.7303999996121,357.1972393790794,351.5184612717159,371.0083130741355
335,1398489363.806,374.2173403279255,390.73040000080533,363.5689207384714,354.97999974981445,370.87416520425415
336,1398489364.806,377.4777176912602,390.73040000080533,363.5689207384714,361.9030767062741,373.42002878420277
337,1398489366.471,383.99847241792975,390.73040000080533,369.94060209786335,365.3646151843727,377.5085224252428
338,1398489368.049,387.2588497815117,402.7303999996121,366.7547614179259,363.63384594545454,380.0944642861261
339,1398489369.668,379.1079063730512,390.73040000080533,360.3830800585339,356.710768988995,371.7330388553463
340,1398489370.667,375.84752900946927,390.73040000080533,363.5689207384714,356.710768988995,371.7144046844353
341,1398489371.666,377.4777176912602,390.7303999989864,360.3830800585339,360.1723074670937,372.1908763039685
342,1398489373.34,392.14941582663744,414.7303999984189,366.75476141840886,360.1723074670937,383.4517211776397
343,1398489375.031,379.1079063730512,402.7303999996121,363.5689207384714,361.9030767062741,376.8275759543522
344,1398489376.031,380.738095054595,390.73040000080533,366.75476141840886,360.1723074670937,374.5988909852257
345,1398489377.03,379.1079063730512,402.7303999996121,360.3830800585339,351.5184612717159,373.43496192572826
346,1398489378.029,379.1079063730512,390.73040000080533,360.3830800585339,353.2492305108964,370.86765423582165
347,1398489380.616,379.1079063730512,378.73040000017966,363.5689207384714,363.63384594519226,371.2602682642236
348,1398489382.318,397.0399818717632,390.73040000080533,366.7547614179259,365.3646151843727,379.9724396187168
349,1398489383.317,392.14941582663744,390.73040000080533,363.5689207384714,361.9030767062741,377.0879533180471
350,1398489384.317,367.69658560100874,378.73040000017966,360.3830800585339,354.9799997500769,365.4475163524497
